County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Hall County  NE,Nebraska,No,98,-0.35,-1,0.088,Restaurants status: Dine-in allowed without restrictions
Madison County  OH,Ohio,Yes,134,0.58,-1,0.01,Restaurants status: Dine-in allowed with restrictions
Liberty County  TX,Texas,No,68,0.03,-0.5,0.078,Restaurants status: Dine-in allowed without restrictions
Pierce County  WI,Wisconsin,No,140,-0.02,-1,0.051,Restaurants status: Dine-in allowed with restrictions
Arecibo Municipio  PR,Puerto Rico,Yes,73,0.43,nan,0.34,
Cullman County  AL,Alabama,No,72,0.09,-1,0.049,Restaurants status: Dine-in allowed with restrictions
Levy County  FL,Florida,No,145,0.02,0,0.091,Restaurants status: Dine-in allowed with restrictions
Columbia County  NY,New York,Yes,99,-0.18,0,0.03,Restaurants status: Dine-in allowed with restrictions
Moore County  TX,Texas,No,282,10.8,-1,0.024,Restaurants status: Dine-in allowed without restrictions
Livingston County  IL,Illinois,Yes,166,0.37,1,0.014,Restaurants status: Dine-in allowed with restrictions
Ellis County  TX,Texas,No,32,-0.86,-0.83,0.039,Restaurants status: Dine-in allowed without restrictions
Cheatham County  TN,Tennessee,No,145,-0.39,0,0.114,Restaurants status: Dine-in allowed with restrictions
Le Sueur County  MN,Minnesota,Yes,204,-0.19,-1,0.086,Restaurants status: Dine-in allowed with restrictions
Union County  OH,Ohio,Yes,100,-0.23,-1,0.022,Restaurants status: Dine-in allowed with restrictions
Rockingham County  VA,Virginia,Yes,72,-0.05,-1,0.084,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Albany County  WY,Wyoming,No,152,1.19,-1,0.046,Restaurants status: Dine-in allowed with restrictions
Jackson County  GA,Georgia,No,81,-0.21,0.5,0.06,Restaurants status: Dine-in allowed with restrictions
White County  AR,Arkansas,No,74,1.42,1,0.016,Restaurants status: Dine-in allowed with restrictions
Tompkins County  NY,New York,Yes,57,-0.57,-1,0.002,Restaurants status: Dine-in allowed with restrictions
Atascosa County  TX,Texas,No,113,1.64,-1,0.011,Restaurants status: Dine-in allowed without restrictions
Mayagüez Municipio  PR,Puerto Rico,Yes,81,0.76,nan,0.215,
Arenac County  MI,Michigan,Yes,390,1.23,-1,0.148,Restaurants status: Dine-in allowed with restrictions
Lares Municipio  PR,Puerto Rico,Yes,239,0.05,nan,0.477,
Summit County  UT,Utah,Yes,138,-0.18,-1,0.049,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Grant County  WA,Washington,Yes,59,-0.26,-1,0.026,Restaurants status: Dine-in allowed with restrictions
Kittitas County  WA,Washington,Yes,121,0.05,0,0.071,Restaurants status: Dine-in allowed with restrictions
Plymouth County  IA,Iowa,No,230,0.09,-1,0.186,Restaurants status: Dine-in allowed with restrictions
Orange County  TX,Texas,No,70,0,0,0.056,Restaurants status: Dine-in allowed without restrictions
Crosby County  TX,Texas,No,1011,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Hopewell city  VA,Virginia,Yes,257,0.04,-1,0.101,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lewis and Clark County  MT,Montana,No,82,0.78,9,0.066,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Kaufman County  TX,Texas,No,42,-0.57,-0.7,0.046,Restaurants status: Dine-in allowed without restrictions
Manistee County  MI,Michigan,Yes,232,0.54,-1,0.132,Restaurants status: Dine-in allowed with restrictions
Gurabo Municipio  PR,Puerto Rico,Yes,121,0.24,nan,0.373,
Putnam County  FL,Florida,No,76,0.02,-0.5,0.058,Restaurants status: Dine-in allowed with restrictions
Manassas city  VA,Virginia,Yes,139,0.73,-1,0.101,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Jefferson County  ID,Idaho,No,191,-0.3,-1,0.164,Restaurants status: Dine-in allowed with restrictions
Sutter County  CA,California,Yes,59,0,-1,0.046,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Huron County  OH,Ohio,Yes,98,-0.17,-1,0.217,Restaurants status: Dine-in allowed with restrictions
Fayette County  GA,Georgia,No,50,-0.21,0,0.033,Restaurants status: Dine-in allowed with restrictions
Winchester city  VA,Virginia,Yes,203,0.33,-1,0.124,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Bartholomew County  IN,Indiana,No,67,-0.22,0,0.051,Restaurants status: Dine-in allowed with restrictions
Knox County  KY,Kentucky,Yes,180,0.14,-1,0.061,Restaurants status: Dine-in allowed without restrictions
Jackson County  IL,Illinois,Yes,99,0.19,-1,0.041,Restaurants status: Dine-in allowed with restrictions
Allegany County  MD,Maryland,Yes,80,-0.07,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Waller County  TX,Texas,No,101,0.04,-1,0.066,Restaurants status: Dine-in allowed without restrictions
Faulkner County  AR,Arkansas,No,44,-0.21,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Allegany County  NY,New York,Yes,121,0.22,-1,0.048,Restaurants status: Dine-in allowed with restrictions
Grant County  IN,Indiana,No,85,-0.11,-0.5,0.073,Restaurants status: Dine-in allowed with restrictions
Abbeville County  SC,South Carolina,No,228,1.15,-1,0.035,Restaurants status: Indoor dining allowed with restrictions
Yuba County  CA,California,Yes,71,-0.15,-1,0.041,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Navajo County  AZ,Arizona,No,50,-0.26,0,0.048,Restaurants status: Dine-in allowed with restrictions
Union County  SC,South Carolina,No,201,-0.19,-1,0.019,Restaurants status: Indoor dining allowed with restrictions
Bennington County  VT,Vermont,Yes,155,0.08,-1,0.025,Restaurants status: Dine-in allowed without restrictions
Douglas County  KS,Kansas,No,45,-0.26,2,0.018,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Crawford County  PA,Pennsylvania,Yes,65,-0.02,-0.5,0.044,Restaurants status: Dine-in allowed without restrictions
Bryan County  GA,Georgia,No,139,1.12,-1,0.056,Restaurants status: Dine-in allowed with restrictions
Parker County  TX,Texas,No,38,-0.38,3,0.061,Restaurants status: Dine-in allowed without restrictions
Champaign County  OH,Ohio,Yes,141,-0.02,-1,0.1,Restaurants status: Dine-in allowed with restrictions
Wilkes County  NC,North Carolina,Yes,80,0.1,1,0.035,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Harlan County  KY,Kentucky,Yes,211,-0.28,-0.5,0.087,Restaurants status: Dine-in allowed without restrictions
Orleans County  NY,New York,Yes,136,0.25,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Jackson County  IN,Indiana,No,124,-0.29,-1,0.033,Restaurants status: Dine-in allowed with restrictions
Ward County  ND,North Dakota,No,80,0.26,-1,0.014,Restaurants status: Dine-in allowed with restrictions
Rockingham County  NC,North Carolina,Yes,59,-0.14,-1,0.043,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Grant County  WI,Wisconsin,No,105,0.2,-1,0.033,Restaurants status: Dine-in allowed with restrictions
Monroe County  TN,Tennessee,No,116,0.06,-1,0.112,Restaurants status: Dine-in allowed with restrictions
Madison County  KY,Kentucky,Yes,58,-0.34,0,0.022,Restaurants status: Dine-in allowed without restrictions
Herkimer County  NY,New York,Yes,88,0.1,-1,0.021,Restaurants status: Dine-in allowed with restrictions
Spalding County  GA,Georgia,No,81,-0.08,-0.25,0.076,Restaurants status: Dine-in allowed with restrictions
Marion County  OH,Ohio,Yes,83,-0.11,-1,0.074,Restaurants status: Dine-in allowed with restrictions
Putnam County  OH,Ohio,Yes,159,0.12,-1,0.259,Restaurants status: Dine-in allowed with restrictions
Effingham County  GA,Georgia,No,84,0.8,0,0.067,Restaurants status: Dine-in allowed with restrictions
Warren County  PA,Pennsylvania,Yes,138,1.08,-1,0.055,Restaurants status: Dine-in allowed without restrictions
Warren County  IA,Iowa,No,105,-0.23,-1,0.061,Restaurants status: Dine-in allowed with restrictions
Stevens County  WA,Washington,Yes,118,0.15,0,0.037,Restaurants status: Dine-in allowed with restrictions
Jefferson County  TN,Tennessee,No,99,0.38,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Jasper County  MO,Missouri,No,44,-0.07,-1,0.052,Restaurants status: Indoor dining allowed with restrictions
Marshall County  IN,Indiana,No,115,-0.02,0,0.09,Restaurants status: Dine-in allowed with restrictions
Moore County  NC,North Carolina,Yes,53,-0.45,-1,0.05,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Granville County  NC,North Carolina,Yes,88,-0.17,-1,0.039,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Dodge County  WI,Wisconsin,No,60,0.32,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Greene County  NY,New York,Yes,112,-0.34,-1,0.041,Restaurants status: Dine-in allowed with restrictions
Darke County  OH,Ohio,Yes,104,0.23,-1,0.14,Restaurants status: Dine-in allowed with restrictions
Franklin County  VA,Virginia,Yes,95,0.47,-1,0.08,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Calumet County  WI,Wisconsin,No,106,0.26,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Schoharie County  NY,New York,Yes,171,0.29,0,0.086,Restaurants status: Dine-in allowed with restrictions
Duplin County  NC,North Carolina,Yes,90,0,-1,0.038,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Houghton County  MI,Michigan,Yes,146,0.27,-1,0.095,Restaurants status: Dine-in allowed with restrictions
Washington County  VT,Vermont,Yes,89,0.11,-1,0.016,Restaurants status: Dine-in allowed without restrictions
Snyder County  PA,Pennsylvania,Yes,129,0.08,-1,0.051,Restaurants status: Dine-in allowed without restrictions
Floyd County  IN,Indiana,No,66,-0.24,-1,0.049,Restaurants status: Dine-in allowed with restrictions
Worcester County  MD,Maryland,Yes,99,-0.16,-0.5,0.077,Restaurants status: Dine-in allowed with restrictions
Smyth County  VA,Virginia,Yes,173,0.21,-1,0.11,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Brown County  SD,South Dakota,No,134,-0.07,-1,0.113,Restaurants status: Dine-in allowed with restrictions
Tooele County  UT,Utah,Yes,72,-0.24,0,0.041,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Grayson County  TX,Texas,No,38,0.21,-1,0.062,Restaurants status: Dine-in allowed without restrictions
Ravalli County  MT,Montana,No,119,0.44,-1,0.057,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Boone County  WV,West Virginia,Yes,242,0.68,-1,0.084,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Haywood County  NC,North Carolina,Yes,83,-0.24,0,0.117,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Wythe County  VA,Virginia,Yes,181,-0.64,0,0.161,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Fond du Lac County  WI,Wisconsin,No,50,0.13,-0.5,0.024,Restaurants status: Dine-in allowed with restrictions
Cortland County  NY,New York,Yes,109,-0.05,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Dorado Municipio  PR,Puerto Rico,Yes,141,0.5,nan,0.378,
Monroe County  IL,Illinois,Yes,147,0.24,-1,0.083,Restaurants status: Dine-in allowed with restrictions
Jefferson County  PA,Pennsylvania,Yes,117,-0.07,-1,0.067,Restaurants status: Dine-in allowed without restrictions
Nantucket County  MA,Massachusetts,Yes,447,-0.22,-1,0.08,Restaurants status: Dine-in allowed with restrictions
Clark County  KY,Kentucky,Yes,141,0.55,-1,0.047,Restaurants status: Dine-in allowed without restrictions
Otero County  NM,New Mexico,Yes,76,-0.2,1,0.035,Restaurants status: Dine-in allowed with restrictions
Eau Claire County  WI,Wisconsin,No,49,-0.14,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Saunders County  NE,Nebraska,No,236,1.04,-1,0.211,Restaurants status: Dine-in allowed without restrictions
Gordon County  GA,Georgia,No,88,-0.38,-0.67,0.062,Restaurants status: Dine-in allowed with restrictions
Elmore County  ID,Idaho,No,185,0.19,-1,0.111,Restaurants status: Dine-in allowed with restrictions
Tangipahoa Parish  LA,Louisiana,Yes,38,-0.32,1,0.043,Restaurants status: Dine-in allowed with restrictions
Dodge County  NE,Nebraska,No,137,0,-1,0.171,Restaurants status: Dine-in allowed without restrictions
Calhoun County  TX,Texas,No,235,0.32,0,0.228,Restaurants status: Dine-in allowed without restrictions
Carson City  NV,Nevada,Yes,89,-0.06,-1,0.118,Restaurants status: Dine-in allowed without restrictions
Coffee County  TN,Tennessee,No,88,-0.21,-0.67,0.065,Restaurants status: Dine-in allowed with restrictions
Ashland County  OH,Ohio,Yes,93,-0.07,-1,0.032,Restaurants status: Dine-in allowed with restrictions
Richmond County  NC,North Carolina,Yes,112,0.09,-1,0.083,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Craven County  NC,North Carolina,Yes,49,-0.5,-0.5,0.03,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Cerro Gordo County  IA,Iowa,No,118,0.39,-1,0.025,Restaurants status: Dine-in allowed with restrictions
Rutherford County  NC,North Carolina,Yes,75,0.06,-1,0.049,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
McMinn County  TN,Tennessee,No,91,-0.11,-1,0.079,Restaurants status: Dine-in allowed with restrictions
Iberia Parish  LA,Louisiana,Yes,70,0.36,-1,0.035,Restaurants status: Dine-in allowed with restrictions
St. Clair County  AL,Alabama,No,55,-0.06,1,0.087,Restaurants status: Dine-in allowed with restrictions
Sweetwater County  WY,Wyoming,No,116,-0.29,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Vance County  NC,North Carolina,Yes,110,-0.36,-1,0.057,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Canóvanas Municipio  PR,Puerto Rico,Yes,110,0.14,nan,0.346,
St. Mary Parish  LA,Louisiana,Yes,99,-0.29,-1,0.054,Restaurants status: Dine-in allowed with restrictions
Chatham County  NC,North Carolina,Yes,64,-0.26,-1,0.037,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
McDonough County  IL,Illinois,Yes,162,-0.08,-1,0.083,Restaurants status: Dine-in allowed with restrictions
Acadia Parish  LA,Louisiana,Yes,77,0.5,-0.5,0.026,Restaurants status: Dine-in allowed with restrictions
Clay County  MO,Missouri,No,19,0.14,1,0.035,Restaurants status: Indoor dining allowed with restrictions
Taylor County  TX,Texas,No,35,1.09,0,0.068,Restaurants status: Dine-in allowed without restrictions
Macon County  TN,Tennessee,No,191,0.07,-1,0.159,Restaurants status: Dine-in allowed with restrictions
Knox County  IL,Illinois,Yes,95,-0.02,-0.5,0.02,Restaurants status: Dine-in allowed with restrictions
Muscatine County  IA,Iowa,No,110,-0.19,-1,0.096,Restaurants status: Dine-in allowed with restrictions
Unallocated  NC,North Carolina,Yes,nan,0,-1,0.092,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Wagoner County  OK,Oklahoma,No,58,1.14,-1,0.067,Restaurants status: Dine-in allowed without restrictions
Isle of Wight County  VA,Virginia,Yes,127,-0.33,-0.67,0.086,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Corozal Municipio  PR,Puerto Rico,Yes,146,0.57,nan,0.231,
Wood County  WV,West Virginia,Yes,56,-0.41,1,0.042,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Carson County  TX,Texas,No,793,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Lee County  AL,Alabama,No,29,-0.4,-1,0.07,Restaurants status: Dine-in allowed with restrictions
Jackson County  WV,West Virginia,Yes,164,0.09,0,0.08,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Steuben County  IN,Indiana,No,136,0.04,-1,0.109,Restaurants status: Dine-in allowed with restrictions
King George County  VA,Virginia,Yes,175,0.96,-1,0.079,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
